"","PLOT_ID_time","AGE","INVENTORY_ID","site","plot","Nr","Artcode","x","y","z","year","dbh","height","hcb","removed","reason","observation","PLOT_ID","TREE_ID","TREE_ID_time","thinned","dead"
"114","5_1_1980",132,"DEN",5,1,408,10,5.69999980926514,30,NA,1980,27.3,28,23.5,0,NA,NA,"5_1","5_1_408","5_1_408_1980",0,0
"115","5_1_1980",132,"DEN",5,1,411,10,5.59999990463257,18.7000007629395,NA,1980,52.9,38.3,25.7,0,NA,NA,"5_1","5_1_411","5_1_411_1980",0,0
"116","5_1_1980",132,"DEN",5,1,414,10,5.80000019073486,8.89999961853027,NA,1980,52.4,40.3,28,0,NA,NA,"5_1","5_1_414","5_1_414_1980",0,0
"117","5_1_1980",132,"DEN",5,1,417,10,6,2.59999990463257,NA,1980,50.8,39,28,0,NA,NA,"5_1","5_1_417","5_1_417_1980",0,0
"118","5_1_1980",132,"DEN",5,1,431,10,2.5,44.0999984741211,NA,1980,30.2,31.3,26.3,0,NA,NA,"5_1","5_1_431","5_1_431_1980",0,0
"119","5_1_1980",132,"DEN",5,1,436,10,2.59999990463257,25.2000007629395,NA,1980,38.7,35.2,27.7,0,NA,NA,"5_1","5_1_436","5_1_436_1980",0,0
"120","5_1_1980",132,"DEN",5,1,440,10,2.70000004768372,10.6999998092651,NA,1980,42.9,37.3,27.2,0,NA,NA,"5_1","5_1_440","5_1_440_1980",0,0
"121","5_1_1980",132,"DEN",5,1,441,10,2.79999995231628,5.59999990463257,NA,1980,34.1,37.3,28.1,0,NA,NA,"5_1","5_1_441","5_1_441_1980",0,0
"122","5_1_1980",132,"DEN",5,1,445,10,1.20000004768372,7.59999990463257,NA,1980,35.3,35.2,24.3,0,NA,NA,"5_1","5_1_445","5_1_445_1980",0,0
"123","5_1_1980",132,"DEN",5,1,447,10,0.899999976158142,13.6999998092651,NA,1980,24.6,33.8,26.5,0,NA,NA,"5_1","5_1_447","5_1_447_1980",0,0
"124","5_1_1980",132,"DEN",5,1,449,10,0.800000011920929,22,NA,1980,39.2,34.3,25.8,0,NA,NA,"5_1","5_1_449","5_1_449_1980",0,0
"125","5_1_1980",132,"DEN",5,1,452,10,1,30.1000003814697,NA,1980,43.2,39.2,26,0,NA,NA,"5_1","5_1_452","5_1_452_1980",0,0
"126","5_1_1980",132,"DEN",5,1,453,10,0.800000011920929,37.7999992370605,NA,1980,33.1,31,25.3,0,NA,NA,"5_1","5_1_453","5_1_453_1980",0,0
"127","5_1_1980",132,"DEN",5,1,454,10,0.699999988079071,39.5,NA,1980,27.7,31.3,22.6,0,NA,NA,"5_1","5_1_454","5_1_454_1980",0,0
"128","5_1_1980",132,"DEN",5,1,455,10,0.699999988079071,42.7000007629395,NA,1980,57.6,41.8,29.4,0,NA,NA,"5_1","5_1_455","5_1_455_1980",0,0
"129","5_1_1980",132,"DEN",5,1,456,10,0.899999976158142,47.4000015258789,NA,1980,58.5,38.2,28.5,0,NA,NA,"5_1","5_1_456","5_1_456_1980",0,0
"130","5_1_1980",132,"DEN",5,1,272,10,20.2000007629395,26.7000007629395,NA,1980,42.7,37.0879727531265,NA,0,NA,NA,"5_1","5_1_272","5_1_272_1980",0,0
"131","5_1_1980",132,"DEN",5,1,273,10,20.2000007629395,29.8999996185303,NA,1980,61,40.4200600643943,NA,0,NA,NA,"5_1","5_1_273","5_1_273_1980",0,0
"132","5_1_1985",138,"DEN",5,1,4,10,48.7999992370605,15.1999998092651,NA,1985,44.8,40.4,NA,0,NA,NA,"5_1","5_1_4","5_1_4_1985",0,0
"133","5_1_1985",138,"DEN",5,1,11,10,48.7999992370605,31.2999992370605,NA,1985,54.2,40.2,NA,0,NA,NA,"5_1","5_1_11","5_1_11_1985",0,0
"134","5_1_1985",138,"DEN",5,1,13,10,48.4000015258789,36.2000007629395,NA,1985,36,36.2,NA,0,NA,NA,"5_1","5_1_13","5_1_13_1985",0,0
"135","5_1_1985",138,"DEN",5,1,25,10,47.2000007629395,12.1999998092651,NA,1985,48.6,37.5,NA,0,NA,NA,"5_1","5_1_25","5_1_25_1985",0,0
